Rank,Feature,Mean importance decrease in F1,Importance standard deviation
1,Electric Range,0.08586191459641394,0.0017522405250101545
2,Clean Alternative Fuel Vehicle (CAFV) Eligibility,0.03044961758466756,0.0010186138991778676
3,Make,0.007046619445286332,0.0003582088138997249
4,Model,0.002260810307049959,0.0006258126998569429
5,Model Year,0.0021322750038426258,0.00025290088769333526
6,Postal Code,9.19483778464609e-05,0.00010617284140240725
7,Legislative District,1.5323086238432687e-05,3.753374256882294e-05
8,Base MSRP,1.5323086238432687e-05,3.753374256882295e-05
9,City,0.0,0.0
10,County,0.0,0.0
11,Electric Utility,0.0,0.0
12,2020 Census Tract,0.0,0.0
