Model Year,Number_of_vehicles,Actual_BEV_share,Mean_predicted_BEV_probability,SD_predicted_BEV_probability,SE_predicted_BEV_probability,CI95_lower,CI95_upper
1997,1,1.0,0.23851067283526092,,,,
1998,1,1.0,0.655397170308786,,,,
1999,4,1.0,0.8637450785645938,0.012352890765748418,0.006176445382874209,0.8516392456141604,0.8758509115150273
2000,9,1.0,0.656423364233489,0.02815325291884448,0.009384417639614827,0.638029905659844,0.6748168228071341
2002,2,1.0,0.9356334519253622,0.02705355301349893,0.01912975079103485,0.8981391403749339,0.9731277634757904
2003,1,1.0,0.9355890960031189,,,,
2008,20,1.0,0.9546784572058071,0.02421729878949319,0.005415152632473014,0.94406475804616,0.9652921563654543
2010,23,0.8695652173913043,0.8928349626038752,0.11752650967254544,0.024505971300543945,0.844803258854809,0.9408666663529414
2011,815,0.9079754601226994,0.9054505458553006,0.2878226540485987,0.010081987837369081,0.8856898496940572,0.925211242016544
2012,1657,0.47616173808086903,0.4734463337422042,0.4946289155582016,0.012151174201025131,0.4496300323081949,0.49726263517621344
2013,4598,0.6415832970856894,0.6406345111595326,0.47871036039574344,0.0070597340884924545,0.6267974323460874,0.6544715899729778
2014,3601,0.49791724520966396,0.49305008951631246,0.4931103846259604,0.008217365188957973,0.47694405374595483,0.5091561252866701
2015,4925,0.7325888324873097,0.7299826661810094,0.43987424442462847,0.006267948456183098,0.7176974872068905,0.7422678451551282
2016,5688,0.685126582278481,0.6838405115939825,0.462822691132368,0.00613669938686949,0.6718125807957183,0.6958684423922468
2017,8579,0.5208066208182772,0.5181776858693722,0.4939338481496853,0.0053327405461979895,0.5077255143988241,0.5286298573399203
2018,14343,0.6975528132189919,0.6950231499864554,0.45696412711572815,0.0038155935761096434,0.6875445865772806,0.7025017133956303
2019,10577,0.8188522265292616,0.8162338157060196,0.3812166238561813,0.0037067268051793815,0.808968631167868,0.8234990002441712
2020,11151,0.8523899201865304,0.8512756188109566,0.3529711257303937,0.0033425835545642297,0.8447241550440107,0.8578270825779025
2021,18554,0.8068341058531853,0.8062743668563245,0.39365349923432474,0.002889983346601902,0.8006099994969847,0.8119387342156642
2022,27983,0.850552120930565,0.8504617222528917,0.3560666556920362,0.0021285515341044705,0.8462897612460469,0.8546336832597365
2023,22476,0.8285282078661683,0.8284463435696161,0.3761423907828843,0.002508954404587849,0.823528792936624,0.8333638942026083
2024,30,0.5,0.49914339745353026,0.5059364324410304,0.09237093223721361,0.3180963702685916,0.6801904246384689
