Rank,Make,BEV count,PHEV count,Total,BEV percentage,PHEV percentage
1,TESLA,61808.0,0.0,61808.0,100.0,0.0
2,NISSAN,13150.0,0.0,13150.0,100.0,0.0
3,CHEVROLET,6556.0,4881.0,11437.0,57.32272449068812,42.67727550931188
4,FORD,3228.0,3669.0,6897.0,46.802957807742494,53.197042192257506
5,BMW,1446.0,4449.0,5895.0,24.529262086513995,75.470737913486
6,KIA,3755.0,1736.0,5491.0,68.38462939355308,31.615370606446913
7,TOYOTA,118.0,4765.0,4883.0,2.416547204587344,97.58345279541265
8,VOLKSWAGEN,3526.0,0.0,3526.0,100.0,0.0
9,VOLVO,1018.0,2203.0,3221.0,31.605091586463832,68.39490841353617
10,AUDI,1426.0,1301.0,2727.0,52.29189585625229,47.70810414374771
11,JEEP,0.0,2615.0,2615.0,0.0,100.0
12,HYUNDAI,2014.0,381.0,2395.0,84.09185803757829,15.908141962421713
13,CHRYSLER,0.0,2237.0,2237.0,0.0,100.0
14,RIVIAN,1806.0,0.0,1806.0,100.0,0.0
15,PORSCHE,486.0,466.0,952.0,51.05042016806723,48.94957983193277
16,FIAT,807.0,0.0,807.0,100.0,0.0
17,HONDA,0.0,787.0,787.0,0.0,100.0
18,MERCEDES-BENZ,506.0,271.0,777.0,65.12226512226512,34.87773487773488
19,MITSUBISHI,62.0,686.0,748.0,8.288770053475936,91.71122994652407
20,MINI,542.0,200.0,742.0,73.04582210242587,26.954177897574123
21,POLESTAR,658.0,0.0,658.0,100.0,0.0
22,SMART,277.0,0.0,277.0,100.0,0.0
23,SUBARU,209.0,63.0,272.0,76.83823529411765,23.16176470588235
24,JAGUAR,222.0,0.0,222.0,100.0,0.0
25,LINCOLN,0.0,212.0,212.0,0.0,100.0
26,LUCID,141.0,0.0,141.0,100.0,0.0
27,CADILLAC,26.0,94.0,120.0,21.666666666666668,78.33333333333333
28,LEXUS,16.0,64.0,80.0,20.0,80.0
29,GENESIS,67.0,0.0,67.0,100.0,0.0
30,LAND ROVER,0.0,43.0,43.0,0.0,100.0
31,FISKER,0.0,15.0,15.0,0.0,100.0
32,MAZDA,0.0,12.0,12.0,0.0,100.0
33,AZURE DYNAMICS,8.0,0.0,8.0,100.0,0.0
34,TH!NK,4.0,0.0,4.0,100.0,0.0
35,BENTLEY,0.0,3.0,3.0,0.0,100.0
36,WHEEGO ELECTRIC CARS,0.0,3.0,3.0,0.0,100.0
